"","Managed Area Name","Year","Number of Samples","Minimum Value (Total Nitrogen mg/L)","Maximum Value (Total Nitrogen mg/L)","Median (Total Nitrogen mg/L)","Mean (Total Nitrogen mg/L)","Standard Deviation (Total Nitrogen mg/L)","Programs with Data"
"448","St. Andrews Aquatic Preserve",2015,18,2e-04,4e-04,2e-04,0.000261111111111111,7.77544316035229e-05,"514"
"449","St. Andrews Aquatic Preserve",2016,9,1e-04,4e-04,2e-04,0.000222222222222222,0.0001092906420717,"514"
"450","St. Andrews Aquatic Preserve",2017,9,1e-04,4e-04,3e-04,0.000255555555555556,8.81917103688197e-05,"514"
"451","St. Andrews Aquatic Preserve",2018,9,1e-04,3e-04,2e-04,0.000188888888888889,6.00925212577332e-05,"514"
"452","St. Andrews Aquatic Preserve",2019,10,1e-04,2e-04,0.00015,0.00015,5.2704627669473e-05,"514"
"453","St. Joseph Bay Aquatic Preserve",2001,32,1e-04,7e-04,2e-04,0.000284375,0.000168693987119644,"514"
"454","St. Joseph Bay Aquatic Preserve",2002,43,1e-04,4e-04,2e-04,0.000216279069767442,9.74196434629454e-05,"514"
"455","St. Joseph Bay Aquatic Preserve",2003,37,1e-04,4e-04,2e-04,0.000213513513513514,9.47574745282871e-05,"514"
"456","St. Joseph Bay Aquatic Preserve",2004,19,1e-04,4e-04,2e-04,0.000231578947368421,0.000110818327700728,"514"
"457","St. Joseph Bay Aquatic Preserve",2005,28,1e-04,6e-04,2e-04,0.000264285714285714,0.000112921754995761,"514"
"458","St. Joseph Bay Aquatic Preserve",2006,59,1e-04,4e-04,2e-04,0.000215254237288136,7.14711403585365e-05,"514"
"459","St. Joseph Bay Aquatic Preserve",2007,49,1e-04,5e-04,2e-04,0.000253061224489796,7.10106823428892e-05,"514"
"460","St. Joseph Bay Aquatic Preserve",2008,53,0,0.46,3e-04,0.0161415094339623,0.0802332643320095,"5002;514"
"461","St. Joseph Bay Aquatic Preserve",2009,39,1e-04,5e-04,3e-04,0.000269230769230769,8.63098645147274e-05,"514"
"462","St. Joseph Bay Aquatic Preserve",2010,25,2e-04,4e-04,2e-04,0.00024,7.07106781186548e-05,"514"
"463","St. Joseph Bay Aquatic Preserve",2011,11,2e-04,4e-04,2e-04,0.000254545454545455,6.87551650952329e-05,"514"
"464","St. Joseph Bay Aquatic Preserve",2012,20,1e-04,6e-04,3e-04,0.00028,0.000105630936457281,"514"
"465","St. Joseph Bay Aquatic Preserve",2013,15,1e-04,8e-04,2e-04,0.000333333333333333,0.000219306265517513,"514"
"466","St. Joseph Bay Aquatic Preserve",2014,4,2e-04,4e-04,0.00025,0.000275,9.57427107756338e-05,"514"
"467","St. Joseph Bay Aquatic Preserve",2015,9,2e-04,4e-04,3e-04,3e-04,7.07106781186548e-05,"514"
"468","St. Joseph Bay Aquatic Preserve",2016,30,1e-04,6e-04,3e-04,0.000283333333333333,9.85527456652574e-05,"514"
"469","St. Joseph Bay Aquatic Preserve",2017,72,1e-04,7e-04,2e-04,0.000265277777777778,0.000106360696730873,"514"
"470","St. Joseph Bay Aquatic Preserve",2018,66,1e-04,0.0013,2e-04,0.000263636363636364,0.000159457120965398,"514"
"471","St. Joseph Bay Aquatic Preserve",2019,60,1e-04,6e-04,2e-04,0.000246666666666667,0.000114190840362084,"514"
"472","St. Joseph Buffer Aquatic Preserve",2016,7,5e-04,0.003,7e-04,0.00108571428571429,0.000909997383565051,"514"
"473","St. Joseph Buffer Aquatic Preserve",2017,7,4e-04,0.002,8e-04,0.000985714285714286,0.000524177360024167,"514"
"474","St. Joseph Buffer Aquatic Preserve",2018,9,5e-04,0.0018,8e-04,0.000933333333333333,0.000396862696659689,"514"
"475","St. Joseph Buffer Aquatic Preserve",2019,9,2e-04,0.0018,8e-04,0.000866666666666667,0.000543139024560011,"514"
"476","St. Martins Marsh Aquatic Preserve",2000,6,5e-04,0.0011,6e-04,0.000683333333333333,0.000231660671385254,"514"
"477","Terra Ceia Aquatic Preserve",2005,12,0,3.03,0.405,0.783333333333333,0.988086611342929,"5002"
"478","Terra Ceia Aquatic Preserve",2006,47,0,2.88,0.54,0.617446808510638,0.692357246579948,"5002"
"479","Terra Ceia Aquatic Preserve",2007,35,0,1.18,0.14,0.336571428571429,0.393647669109012,"5002"
"480","Terra Ceia Aquatic Preserve",2008,40,0,1.83,0.15,0.46175,0.544095992190669,"5002"
"481","Terra Ceia Aquatic Preserve",2009,26,0,1.7,0.455,0.488461538461538,0.508768649251837,"5002"
"482","Terra Ceia Aquatic Preserve",2010,46,0,1.52,0.135,0.366304347826087,0.469881113548486,"5002"
"483","Terra Ceia Aquatic Preserve",2011,44,0,1.77,0.13,0.448636363636364,0.57265839043474,"5002"
"484","Terra Ceia Aquatic Preserve",2012,51,0,1.51,0.03,0.335098039215686,0.460562145856646,"5002"
"485","Terra Ceia Aquatic Preserve",2013,51,0,6.37,0.14,0.495686274509804,0.961765574143639,"5002"
"486","Terra Ceia Aquatic Preserve",2014,51,0,1.63,0.03,0.321372549019608,0.438360671629393,"5002"
"487","Terra Ceia Aquatic Preserve",2015,29,0,1.6,0.021,0.396310344827586,0.483042005231154,"5002"
"488","Terra Ceia Aquatic Preserve",2016,27,0,1.57,0.2,0.450740740740741,0.51628052843932,"5002"
"489","Terra Ceia Aquatic Preserve",2017,33,0,1.54,0.12,0.392181818181818,0.488304365543757,"5002"
"490","Terra Ceia Aquatic Preserve",2018,127,0.006,1.53,0.274,0.274314960629921,0.327031033447738,"5002"
"491","Terra Ceia Aquatic Preserve",2019,127,0.006,1.95,0.28,0.289,0.336209567109374,"5002"
"492","Terra Ceia Aquatic Preserve",2020,88,0.009,1.37,0.2175,0.254625,0.278290318618492,"5002"
"493","Tomoka Marsh Aquatic Preserve",2000,16,2e-04,9e-04,6e-04,0.00053125,0.000215154982899924,"514"
"494","Tomoka Marsh Aquatic Preserve",2001,20,3e-04,0.001,0.00045,0.00052,0.000223842049574906,"514"
"495","Yellow River Marsh Aquatic Preserve",2001,3,2e-04,3e-04,3e-04,0.000266666666666667,5.77350269189626e-05,"514"
